year,segment,manuf,purchases,range,vol,speed,noise,power,length,wingspan,maxw,market_size,price
1985,"M","Raytheon",21,2955,604,456,80.9,20.7,15.6,15.66,12700,8294,15.32447
1986,"L","Bombardier",5,3352.867,1035,460,80.45333,40.7,20.85,19.61,19550,8442,25.41385
1986,"M","Bombardier",10,2397,407,477,85.36667,16.5,16.79,13.34,9525,8442,9.461695
1986,"S","Bombardier",12,2522,268,470,83.6,15.6,14.83,12.04,8300,8442,7.092774
1986,"M","Cessna",24,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,8442,12.212
1986,"S","Cessna",40,1738.291,260.8909,401.2727,79.67455,11.14509,14.34891,15.85273,6789.073,8442,3.399063
1986,"L","Dassault",5,3860,1267,500,81.9,31.65,20.21,19.33,20640,8442,28.14669
1986,"M","Dassault",13,2945.6,700,474,84.22,24.42,18.246,16.352,17145.8,8442,25.3583
1986,"S","Dassault",1,1900,251,492,82.2,14.4,13.86,13.08,8627.5,8442,7.079601
1986,"L","Gulfstream",12,4132.727,1394.091,501.3636,87.2,53.67273,25.75636,23.72,32134.68,8442,33.04492
1986,"M","IAI",8,3036.786,365,466.4286,79.85,16.30714,16.57929,15.57214,10660,8442,8.882491
1986,"M","Raytheon",24,2955,604,456,80.9,20.7,15.6,15.66,12700,8442,15.14166
1986,"S","Raytheon",8,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,8442,8.431761
1987,"L","Bombardier",11,3364.188,1035,460,79.84375,40.7,20.85,19.61,19550,8618,25.14821
1987,"M","Bombardier",2,2397,407,477,87,16.5,16.79,13.34,9525,8618,9.947265
1987,"S","Bombardier",5,2405,269.55,470.3,84.01,15.475,14.8135,12.0455,8161.75,8618,7.377901
1987,"M","Cessna",15,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,8618,11.70404
1987,"S","Cessna",35,1807.88,262.24,402.31,78.338,11.5928,14.3776,15.876,6791.29,8618,5.142779
1987,"L","Dassault",24,3860,1267,500,81.9,31.65,20.21,19.33,20640,8618,28.31926
1987,"M","Dassault",11,2884.344,700,473.4375,84.175,24.23438,18.09188,14.94125,16775.84,8618,19.14384
1987,"S","Dassault",3,1900,251,492,82.2,14.4,13.86,13.08,8627.5,8618,9.925775
1987,"L","Gulfstream",17,4210.769,1511.154,504.6154,77.9,60.76154,26.79692,23.72,33373.92,8618,34.12368
1987,"M","IAI",5,3058.75,368,466,79.625,16.275,16.6875,15.8925,10660,8618,11.03919
1987,"M","Raytheon",23,2955,604,456,80.9,20.7,15.6,15.66,12700,8618,15.49615
1987,"S","Raytheon",9,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,8618,8.534382
1988,"L","Bombardier",10,3365,1035,460,79.8,40.7,20.85,19.61,19550,8705,25.99032
1988,"M","Bombardier",2,2397,407,477,87,16.5,16.79,13.34,9525,8705,9.769523
1988,"S","Bombardier",7,1996,270.2143,473.5714,83.7,15.42143,14.80643,12.42214,7739.643,8705,8.17125
1988,"M","Cessna",13,2304,438,473.33,78.9,16.87,16.9,16.31,10047.67,8705,13.0588
1988,"S","Cessna",36,1888.111,260.8518,400.6667,75.99259,12.12185,14.34815,15.84593,6709.296,8705,5.579672
1988,"L","Dassault",16,3860,1267,500,81.9,31.65,20.21,19.33,20640,8705,32.31007
1988,"M","Dassault",6,3054.5,700,475,84.3,24.75,18.52,18.86,17803.5,8705,24.33996
1988,"S","Dassault",5,1900,251,492,82.2,14.4,13.86,13.08,8627.5,8705,10.00853
1988,"L","Gulfstream",43,4220,1525,505,76.8,61.6,26.92,23.72,33520.5,8705,36.73107
1988,"M","IAI",3,3110,375,465,79.1,16.2,16.94,16.64,10660,8705,12.58062
1988,"M","Raytheon",27,2955,604,456,80.9,20.7,15.6,15.66,12700,8705,16.13969
1988,"S","Raytheon",17,1751.5,305,460,88.6,13.9,14.75,13.25,7230.5,8705,8.6136
1989,"L","Bombardier",15,3365,1035,460,79.8,40.7,20.85,19.61,19550,8804,27.54004
1989,"M","Bombardier",7,2397,407,477,87,16.5,16.79,13.34,9525,8804,10.22967
